customer_id,name,phone_number,age,gender,region,plan_type,monthly_fee,data_usage_gb,voice_usage_min,sms_count,subscription_years,is_kt_member,device_type,device_age_months,payment_type,last_purchase_category,monthly_arpu,avg_app_hours,network_quality_score,marital_status,job_type,churn_risk_score,overage_fee_last_month,international_calls_min,discount_program
28,윤다온,010-0000-0027,55,M,경남,LTE-베이직,42702,13.5,338,221,9.2,1,iPhone 13,13,휴대폰결제,웹소설,78541,1.4,Good,Married,학생,4,18722,27,장기고객
29,백서준,010-0000-0028,37,M,전북,5G-프리미엄,72004,37.5,186,234,5.8,0,iPhone 15,31,휴대폰결제,OTT,98953,5.7,Good,Single,회사원,34,17558,31,없음
30,박지후,010-0000-0029,42,F,서울,LTE-베이직,71283,18.3,16,216,3.6,1,Galaxy A34,22,카드,웹소설,21330,5.6,Good,Married,공무원,22,2211,19,인터넷결합
31,김민준,010-0000-0030,63,F,광주,LTE-베이직,96136,4.4,336,299,8,0,iPhone 13,30,카드,음악,118673,0.7,Excellent,Single,전문직,6,17086,38,인터넷결합
32,최윤아,010-0000-0031,18,F,광주,LTE-베이직,102302,0.4,27,46,7.3,0,Galaxy A34,38,휴대폰결제,웹툰,51657,0.8,Poor,Married,공무원,38,18555,6,인터넷결합
33,하도윤,010-0000-0032,54,F,경북,5G-슬림,28412,8.2,65,37,6.1,1,iPhone 13,26,계좌이체,OTT,113624,1.4,Poor,Married,학생,8,314,13,없음
34,백서준,010-0000-0033,45,F,전북,LTE-베이직,68291,24.7,36,1,10.6,0,iPhone 15,34,계좌이체,웹툰,60827,1.5,Excellent,Single,무직,24,9171,27,인터넷결합
35,오준희,010-0000-0034,51,F,충북,5G-슬림,37336,37.9,275,90,7,1,iPhone 13,13,계좌이체,웹소설,123465,1.3,Good,Married,공무원,16,18274,23,없음
36,박지후,010-0000-0035,68,M,제주,5G-베이직,32939,17.2,159,235,7.7,1,Galaxy A34,20,카드,웹소설,112412,3.7,Excellent,Married,회사원,36,721,14,장기고객
37,김지안,010-0000-0036,42,M,인천,5G-프리미엄,73658,22.7,298,210,7.8,1,iPhone 13,29,카드,웹툰,106617,3.5,Excellent,Single,자영업,25,10527,18,인터넷결합
38,최성훈,010-0000-0037,60,F,강원,LTE-슬림,35902,20.2,461,220,9.6,1,Galaxy S23,15,계좌이체,영화,62231,1.1,Good,Single,학생,34,16839,41,없음
39,이서연,010-0000-0038,32,F,대전,5G-슬림,39704,12.7,42,222,0.3,0,Galaxy A54,34,휴대폰결제,웹소설,60948,1.3,Excellent,Married,공무원,5,10166,18,가족결합
40,조수아,010-0000-0039,21,F,경기,LTE-베이직,61080,27.6,162,43,4.7,1,Galaxy A34,31,계좌이체,OTT,94245,3.4,Excellent,Single,학생,28,3318,20,인터넷결합
